archive,file_name,file_size,archive_path
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/dark ages border.chapter open.tif,344944,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/big c.tif,606008,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/darkagesborder.chapteropen.grey.tif,1453790,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/WW logo BN Adress.eps,828310,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/Big I.tif,1447094,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/Dark Ages Border.right lineart.tif,4029780,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/M-&-G portrait border.vda.psd,1043916,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/VDA ankh 20%.tif,3022184,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/Portrait Dark Ages.png,52328,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/M-&-G portrait border.vda.tif,1879680,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/Book title.png,49685,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Links/Dark Ages Border.right.grey.tif,654322,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Document fonts/Goudy SSi Bold.ttf,75749,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Document fonts/AdobeFnt18.lst,4317,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Document fonts/ariblk.ttf,167620,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Document fonts/Goudy SSi.ttf,75240,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,"Document fonts/[Giovanni, Ventrue] Wilkli.TTF",70684,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Document fonts/Ermine Regular Fixed_2.ttf,53208,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Document fonts/Sparrownew119-regular.ttf,76648,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Document fonts/Goudy SSi Bold Italic.ttf,76500,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Document fonts/Goudy SSi Italic.ttf,76299,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,VtDA 1st ed Sourcebook Interior.idml,127582,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,Template for Vampire,0,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,VtDA 1st ed Sourcebook Interior.pdf,1543687,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip,VtDA 1st ed Sourcebook Interior.indd,2097152,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior InDesign.zip
15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior Word.zip,Files/VDA ankh 20%.tif,3022184,E:\Source for Vectored Mats\15. RPG\New World of Darkness\Vampire_ The Dark Ages First Edition Templates\DA1E__Sourcebook_Template_Complete_extracted\DA1E Sourcebook Interior Word.zip
