archive,file_name,file_size,archive_path
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video6_7.mp4,30747512,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video7_5.mp4,17468324,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video4_5.mp4,10281176,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video6_8.mp4,18917132,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video7_4.mp4,30616098,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video4_7.mp4,38387281,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video5_5.mp4,26126091,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video5_10.mp4,11252819,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video1_2.mp4,3827697,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video4_3.mp4,16198968,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video5_4.mp4,47019642,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video5_1.mp4,15402591,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video2_1.mp4,7362286,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video6_5.mp4,37751951,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video6_9.mp4,5461127,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/videos/video4_6.mp4,35352659,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/credits.html,3130,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/overview.html,9768,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/larger.png,788,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/intro.jpg,2030,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/watch.png,3746,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/browse.png,3932,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/videoW.jpg,105789,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/banner.jpg,2177,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/image.png,127487,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/shadow.png,17496,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/image.jpg,9932,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/videoW1.jpg,20187,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/gradient.png,5178,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/pattern.png,939,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/sprite.png,4681,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/background1.jpg,9752,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/background.jpg,43219,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/watched.png,1154,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/logo.png,3679,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/videoImage.jpg,28721,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/prev.gif,1296,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/images/next.gif,1294,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/style.css,29342,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/js/video-js.swf,9612,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/js/jquery.js,94840,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/js/jquery-1.8.0.js,258377,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/js/jquery.cookie.js,1852,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/js/lightbox.js,11597,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/js/video.js,145550,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip,package/js/bootstrap.min.js,3437,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\9781836205579.zip
